Tier,Competency,Always,Sometimes,Never
Individual contributor,Business Acumen,"Knows company strategy, team OBT, and personal OBT. Deeply understands core customer and our plan to solve their problems. Uses critical numbers to evaluate performance. Every decision reflects this understanding.","General awareness of strategy but can't articulate specifics. Knows the customer exists but not their detailed problems. Inconsistent use of critical numbers.","Unaware of company strategy or customer. Doesn't know their critical number. Makes decisions without considering business context."
Individual contributor,Prioritization,"Ruthlessly focuses on what matters most. Applies 80/20 thinking. Says no to good ideas to protect great ones. Maintains focus despite distractions.","Generally focused but can be pulled off-track. Struggles to distinguish urgent from important. Occasionally takes on too much.","No clear priorities. Works on whatever arrives. Unable to say no. Constantly firefighting without strategic focus."
Individual contributor,Expert and Continual Learner,"Deep expertise in their domain. Recognized as a go-to resource. Actively expands knowledge through reading, courses, and experimentation. Shares learnings.","Competent but not exceptional. Learning happens but isn't systematic. May plateau at ""good enough.""","Superficial knowledge. No investment in growth. Relies on outdated information. Resists learning new approaches."
Individual contributor,Communication,"Strong written and verbal skills. Messages are clear in at most 2 iterations. Documentation and handoffs require minimal explanation. Listens more than speaks. Adapts style to audience.","Generally clear but sometimes requires clarification. Documentation exists but may be incomplete. May over-communicate or under-communicate. Listening could be stronger.","Chronically unclear. Messages require multiple rounds to understand. Documentation is absent or unusable. Talks more than listens. One style regardless of audience."
Individual contributor,Resourcefulness,"Finds creative solutions within constraints. Does more with less. Simplifies rather than complicates. Gets things done without requiring additional resources.","Can work within constraints but may default to asking for more resources. Solutions are functional but not elegant.","Stops when resources are limited. Complicates rather than simplifies. Requires ideal conditions to produce results."
Individual contributor,Adaptability,"Learns quickly and pivots execution when conditions change. Maintains composure and sound judgment under pressure. Tests alternatives against current approaches. Adjusts methods based on new information.","Can adapt but prefers stability. May be slow to recognize when change is needed. Occasional lapses in composure under pressure. Adjusts eventually but not proactively.","Rigid and resistant to change. Crumbles under pressure leading to poor decisions or paralysis. Clings to ""how we've always done it."" Spreads anxiety to others when conditions shift."
Individual contributor,Analytical,"Uses data to drive decisions. Identifies root causes rather than symptoms. Spots patterns and trends. Quantifies impact before recommending actions.","Uses data when available but may rely on intuition. Analysis is adequate but not rigorous. May address symptoms rather than causes.","Ignores data. Makes decisions on gut feel alone. Doesn't look for root causes. Unable to quantify impact."
People manager,Empowers Others,"Delegates outcomes, not tasks. Asks questions rather than giving answers. Develops people by letting them struggle productively. Celebrates team wins.","Delegates but micromanages execution. Sometimes solves problems that should be left to the team. Takes credit alongside the team.","Hoards work. Solves everyone's problems. Takes credit for team accomplishments. Team is dependent rather than capable."
People manager,Feedback,"Gives timely, specific, actionable feedback. Balances positive recognition with constructive criticism. Creates safety for receiving feedback.","Feedback is occasional or vague. May avoid difficult conversations. Imbalance between positive and constructive.","Avoids feedback entirely. Stockpiles issues for reviews. Feedback is harsh or personal. Creates fear rather than growth."
People manager,Team Building,"Builds cohesive, high-performing teams. Addresses conflict constructively. Creates psychological safety. Team members grow under their leadership.","Team functions but isn't exceptional. Conflict is managed but not leveraged. Some team members thrive, others stagnate.","Team is dysfunctional. Conflict festers. No psychological safety. High turnover or disengagement."
People manager,Financial Acumen (Budget),"Understands and manages their budget. Reviews costs regularly and looks for savings. Makes spending decisions that maximize ROI.","Aware of budget but doesn't actively manage. Occasional overspending. Reactive rather than proactive on costs.","Ignores budget. Spends without consideration of constraints. Frequently surprised by financial shortfalls."
Department head,Vision and Strategy,"Sets clear direction aligned with company strategy. Translates vision into actionable plans. Inspires others to pursue ambitious goals. Connects daily work to purpose.","Has a vision but communication is inconsistent. Strategy exists but execution connection is weak. Team understands goals but not the why.","No clear vision. Strategy changes constantly. Team is confused about direction. Daily work feels disconnected."
Department head,See Around Corners,"Anticipates problems before they occur. Identifies trends and their implications. Prepares the team for future challenges. Rarely caught off guard.","Reactive but recovers well. Some foresight but inconsistent. Occasionally surprised by developments.","Constantly firefighting. No forward thinking. Repeatedly surprised by predictable issues. Team is always in crisis mode."
Department head,Composure and Presence,"Projects confidence and calm. Others look to them for stability. Handles difficult situations with grace. Represents the company well.","Generally composed but occasionally rattled. Presence varies by situation. May struggle in high-stakes moments.","Easily flustered. Presence undermines confidence. Struggles to represent the company effectively."
Executive,Enterprise Financial Management,"Full financial literacy: profit and loss, balance sheet, cash flow, 36-month forecast. Understands fiduciary responsibilities. Steward of company resources.","Understands financials but doesn't actively use them in decisions. May focus on their area without enterprise view.","Financially illiterate at the enterprise level. Makes decisions without considering financial impact. Poor steward of resources."
Executive,Solves Problems That Matter,"Identifies the highest-leverage problems for the company. Builds cross-functional alignment to solve them. Decisions create lasting improvements.","Solves important problems but not always the most important. May get stuck in operational details. Alignment requires effort.","Works on low-impact problems. Unable to build cross-functional alignment. Creates solutions that don't stick."
